src,dest,EdgeType
0,405,Gene-Gene
0,406,Gene-Gene
1,405,Gene-Gene
1,406,Gene-Gene
3,1543,Gene-Gene
4,1543,Gene-Gene
18,329,Gene-Gene
18,573,Gene-Gene
18,593,Gene-Gene
18,1403,Gene-Gene
19,329,Gene-Gene
19,573,Gene-Gene
19,593,Gene-Gene
19,1403,Gene-Gene
20,23,Gene-Gene
20,151,Gene-Gene
20,171,Gene-Gene
20,172,Gene-Gene
20,174,Gene-Gene
20,180,Gene-Gene
20,941,Gene-Gene
20,1169,Gene-Gene
20,1171,Gene-Gene
20,1173,Gene-Gene
20,1803,Gene-Gene
20,1806,Gene-Gene
21,151,Gene-Gene
21,940,Gene-Gene
21,941,Gene-Gene
21,942,Gene-Gene
21,943,Gene-Gene
22,940,Gene-Gene
22,941,Gene-Gene
22,942,Gene-Gene
22,943,Gene-Gene
23,20,Gene-Gene
23,178,Gene-Gene
23,179,Gene-Gene
23,940,Gene-Gene
23,941,Gene-Gene
23,942,Gene-Gene
23,943,Gene-Gene
24,940,Gene-Gene
24,941,Gene-Gene
24,942,Gene-Gene
24,943,Gene-Gene
25,1307,Gene-Gene
26,219,Gene-Gene
26,220,Gene-Gene
26,221,Gene-Gene
26,222,Gene-Gene
26,223,Gene-Gene
26,224,Gene-Gene
26,225,Gene-Gene
26,229,Gene-Gene
26,230,Gene-Gene
26,231,Gene-Gene
26,232,Gene-Gene
26,233,Gene-Gene
26,725,Gene-Gene
26,726,Gene-Gene
26,727,Gene-Gene
26,728,Gene-Gene
26,729,Gene-Gene
26,731,Gene-Gene
26,732,Gene-Gene
26,733,Gene-Gene
26,734,Gene-Gene
26,735,Gene-Gene
26,736,Gene-Gene
26,737,Gene-Gene
26,738,Gene-Gene
26,739,Gene-Gene
26,740,Gene-Gene
26,741,Gene-Gene
26,742,Gene-Gene
26,743,Gene-Gene
26,744,Gene-Gene
26,745,Gene-Gene
26,746,Gene-Gene
26,747,Gene-Gene
26,748,Gene-Gene
27,725,Gene-Gene
27,726,Gene-Gene
27,727,Gene-Gene
27,732,Gene-Gene
27,733,Gene-Gene
27,734,Gene-Gene
27,735,Gene-Gene
27,736,Gene-Gene
27,737,Gene-Gene
27,738,Gene-Gene
27,739,Gene-Gene
27,740,Gene-Gene
27,741,Gene-Gene
27,742,Gene-Gene
27,743,Gene-Gene
27,744,Gene-Gene
27,745,Gene-Gene
27,746,Gene-Gene
27,747,Gene-Gene
27,748,Gene-Gene
28,219,Gene-Gene
28,220,Gene-Gene
28,221,Gene-Gene
28,222,Gene-Gene
28,223,Gene-Gene
28,224,Gene-Gene
28,225,Gene-Gene
28,229,Gene-Gene
28,230,Gene-Gene
28,231,Gene-Gene
28,232,Gene-Gene
28,233,Gene-Gene
28,725,Gene-Gene
28,726,Gene-Gene
28,727,Gene-Gene
28,728,Gene-Gene
28,729,Gene-Gene
28,731,Gene-Gene
28,732,Gene-Gene
28,733,Gene-Gene
28,734,Gene-Gene
28,735,Gene-Gene
28,736,Gene-Gene
28,737,Gene-Gene
28,738,Gene-Gene
28,739,Gene-Gene
28,740,Gene-Gene
28,741,Gene-Gene
28,742,Gene-Gene
28,743,Gene-Gene
28,744,Gene-Gene
28,745,Gene-Gene
28,746,Gene-Gene
28,747,Gene-Gene
28,748,Gene-Gene
29,219,Gene-Gene
29,220,Gene-Gene
29,221,Gene-Gene
29,222,Gene-Gene
29,223,Gene-Gene
29,224,Gene-Gene
